what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329597650852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329597907163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1329597958105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329597958960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329597965490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329597965655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329597965832
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1329597966064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329597978472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329597979411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598099423
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329598109468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329598125594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598126379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598153465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598158796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598164786
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329598172855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598173197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598191430
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329598191488
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329598195084
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329598196233
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329598201744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598202926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598205838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598218502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598230721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1329598231753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1329598232800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1329598237678
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329598239142
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329598240213
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1329598255175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598266739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598267390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1329598270663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598271113
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329598286406
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329598288814
